name,street,category,township,contact,state
Shwe Myanmar,"Rm Ta Wun Pu/9/10, Min Dhama Rd., Kyauk Taw Gyi Pagoda Shop Room, Gyoh Gone (East) Ward,",Dyeing & Printing Textiles,Insein(Insein),"tel: 09-258725124,tel: 09-450032263,tel: 09-973330649",Yangon Region
Kyaw Myint [U],"50, Rm C/11, 1st Flr, Bank St.,",Law Firms,Kyauktada(Kyauktada),tel: 09-5104757,Yangon Region
Medecins Sans Frontieres-Holland [MSF],"5/59, Aye Yadanar St., Thiri Gon Housing, Ward (16/2),",NGOs,Thingangyun(Thingangyun),"tel: 01-8551264,tel: 01-8550820,tel: 01-1221308,tel: 01-1221689",Yangon Region
The Rih Lake Chin Traditional Costumes & Food,"67/B, Dhamar Yon St., Myae Ni Gone (South) Ward,",Silk Wear,Sanchaung(Sanchaung),"tel: 01-502761,tel: 09-5019135,tel: 09-250201475",Yangon Region
Medecins Sans Frontieres [Switzerland] [MSF-CH],"101/A, Dhama Zedi Rd., Ward (10),",NGOs,Kamayut(Kamayut),"tel: 01-526194,tel: 01-503840",Yangon Region
Textile House Myanmar,"86/B, 1st Flr, Shin Saw Pu Rd., Shin Saw Pu Ward,",Fabric Shops,Sanchaung(Sanchaung),"tel: 01-519286,tel: 09-253884184",Yangon Region
Thin Pyant Nwe,"Central Hall Shed, Rm 82, Bogyoke Aung San Market,",Silk Wear,Pabedan(Pabedan),tel: 09-5125035,Yangon Region
Medicins Du Monde [France],"11/B, Maha Myaing St., Kyun Taw (Mid) Ward,",NGOs,Sanchaung(Sanchaung),"tel: 01-2304015,tel: 09-73198533",Yangon Region
Smile,"West A Shed, Rm 269, Bogyoke Aung San Market,",Cosmetics,Pabedan(Pabedan),"tel: 09-73097792,tel: 09-43088700",Yangon Region
Shwe Yint Yaung,"Rm N-18, G Flr, Yuzana Plaza,",Silk Wear,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-43177199,tel: 09-420254375,tel: 09-32275539",Yangon Region
SST,"9,Zahtila St.,Ma Hlwa Gone Htay Kywe Ward",Fabric Shops,Tarmwe(Tarmwe),"tel: 09-254385681,tel: 09-73185190",Yangon Region
Taung Paw Thar,"Foodstall Shed, Rm 18, Bogyoke Aung San Market,",Handicraft Materials,Pabedan(Pabedan),"tel: 09-978522098,tel: 09-73075113,tel: 01-375646",Yangon Region
Shwe San Eain [Shan Traditional Fabric],"6, Yay Twin St., Saw Yan Paing (East) Ward,",Fabric Shops,Ahlone(Ahlone),tel: 09-420096965,Yangon Region
Mar Mar Oo [Daw],"46, 1st Flr, Maha Bandoola Garden St., Lower Block,",Law Firms,Kyauktada(Kyauktada),tel: 01-374901,Yangon Region
Saw Bwar Lay,"303, Min Gyi Rd., Taung Thu Gone Ward,",Dried Tea Leaves,Insein(Insein),tel: 09-421081275,Yangon Region
Lin Naing Myint [U],"40, 1st Flr, U Tun Linn Chan St., Ward (1),",Law Firms,Kamayut(Kamayut),tel: 09-43030357,Yangon Region
"Maung Maung Htay [U], Tint Tint Hlaing [Daw]","55, Rm 28, 3rd Flr, Maha Bandoola Garden St.,",Law Firms,Kyauktada(Kyauktada),"tel: 09-250287956,tel: 09-5046594",Yangon Region
Lin Latt,"180, Rm 3, 1st Flr, 29th St.,",Law Firms,Pabedan(Pabedan),"tel: 09-421000660,tel: 09-73181268,tel: 09-31118349,tel: 09-73029626,tel: 09-420064758",Yangon Region
Lwin Kyaw Myay [Daw],"50, Rm E/8, 1st Flr, Bank St.,",Law Firms,Kyauktada(Kyauktada),tel: 09-49339752,Yangon Region
Lin Lin Shwe Zin [Daw],"22, Yae Kue Butar Yone St., Ward (8),",Law Firms,Mayangone(Mayangone),tel: 09-73090375,Yangon Region
Myanmar Hida Alumi Association,"23, Rm A/2, Shwe Gon Daing (West) 3rd St., Shwe Gon Daing (West) Ward,",NGOs,Bahan(Bahan),tel: 09-252446367,Yangon Region
Lucy Wayne & Associates Ltd.,"100/A, Kaba Aye Pagoda Rd., Saya San Ward,",Law Firms,Bahan(Bahan),"tel: 01-554468,tel: 01-8604540",Yangon Region
Myanmar Egress [Capacity Development Centre],"35, Kyaik Waing Pagoda Rd., Corner of Min Dhama Rd.,Ministry of Industry No (2), Ward (4),",NGOs,Mayangone(Mayangone),"tel: 01-656840,tel: 01-656841,tel: 01-665482",Yangon Region
Myanmar Environment Rehabilitation-Conservation Network [MERN],"Bldg 212/213, Rm 302, 4th Flr, Sabei Marga St., Hanthar Yeik Mon Housing,",NGOs,Kamayut(Kamayut),tel: 01-536201,Yangon Region
Yoon Shwe Yee,"West A Shed, Rm 302, Bogyoke Aung San Market,",Silk Wear,Pabedan(Pabedan),"tel: 01-374740,tel: 09-5198413",Yangon Region
Takkatho,"Central Hall Shed, Rm 133, Bogyoke Aung San Market,",Silk Wear,Pabedan(Pabedan),"tel: 09-420078750,tel: 09-420034273",Yangon Region
Myanmar EITI National Coordination Office [MDRICHSE],"35/B/15, 1st Flr, New University Avenue Rd., Saya San Ward,",NGOs,Bahan(Bahan),"tel: 09-250066126,tel: 09-450017278",Yangon Region
Wah Nwe Thway,"Bldg B/2, Rm 202, 2nd Flr, Hnin Si St., Yuzana Mingalar City Housing,",Fabric Shops,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-254028251,tel: 01-9000742,tel: 09-254127645",Yangon Region
Yoe Yoe Lay,"Central Hall Shed, Rm 129, Bogyoke Aung San Market,",Silk Wear,Pabedan(Pabedan),tel: 09-5144085,Yangon Region
Maung Maung Naing [U],"50, Rm E/9, 2nd Flr, Bank St.,",Law Firms,Kyauktada(Kyauktada),,Yangon Region
Myanmar Education Support Organization,"40, 2nd Flr, Baho Rd., Aung Chan Thar Ward,",NGOs,Sanchaung(Sanchaung),"tel: 01-519184,tel: 01-519161,tel: 01-501594",Yangon Region
Three O Seven [307],"171, Banyar Dala Rd., Ma U Gone Ward,",Silk Wear,Tarmwe(Tarmwe),"tel: 09-785100754,tel: 09-5100754,tel: 09-259268579,tel: 09-798137379",Yangon Region
Myanmar Business Coalition On AID [Project Office],"429/437, Rm F/6, 6th Flr, Merchant Rd., Yadana Myaing Condo,",NGOs,Botahtaung(Botahtaung),"tel: 09-8619332,tel: 09-799598081,tel: 09-421110232",Yangon Region
Myanmar Business Coalition on AID [Project Office],"Bldg A, Rm 601, 6th Flr, Pyay Rd., Thiri Condo, 9 Mile,",NGOs,Mayangone(Mayangone),"tel: 09-421164002,tel: 09-5401464",Yangon Region
Myanmar Business Executives Association,"8, Rm 604, 6th Flr, Bargayar Rd., Pan Chan Tower, Myae Ni Gone (South) Ward,",NGOs,Sanchaung(Sanchaung),"tel: 01-516639,tel: 09-420069902",Yangon Region
Myanmar Education Consortium [M.E.C],"5th Flr, U Wisara Rd., Wizaya Plaza,",NGOs,Bahan(Bahan),tel: 01-375739 Ext.536,Yangon Region
Aung Tun Naing [Ko] & Brother,"182/183, Yae Nan Chaung St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 01-8100187,tel: 01-590857,tel: 01-590802,tel: 01-594483",Yangon Region
Aung Tin Win,"2803, May Kha St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-5162375,tel: 01-551067",Yangon Region
"Law Ka Par La Myanmar Co.,Ltd.","Rm 01/10, 1st Flr, Chan Thar Plaza,",Law Firms,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-798401675,tel: 09-450020302",Yangon Region
Myanmar Centre For Responsible Business [MCRB],"15, Shan Yeikthar St., Pann Hlaing Ward,",NGOs,Sanchaung(Sanchaung),"tel: 01-510069,tel: 09-420261244",Yangon Region
Tin Oo [U],"72,17th St.,Lower Block",Noodles & Vermicelli [Assorted],Latha(Latha),"tel: 01-225523,tel: 09-5172065,tel: 09-5106239,tel: 09-5077268,tel: 09-73029335",Yangon Region
Htay Htay [Daw],"11, Baho Rd., Ward (3),",Laundries,Kamayut(Kamayut),"tel: 09-799853793,tel: 09-794842620",Yangon Region
Hua Qiang Wash Factory,"21, Hlay Thin Ah Twin Wun U Chein St., Industrial Zone (2),",Laundries,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 01-684675,tel: 01-684711",Yangon Region
Tin Ohn [Daw],"10,Mya Thida St.,Kyun Taw (North) Ward",Noodles & Vermicelli [Assorted],Sanchaung(Sanchaung),,Yangon
Lino Master,"229,1st Flr,38th St.,Upper Block",Law Firms,Kyauktada(Kyauktada),"tel: 09-250000587,tel: 01-372203,tel: 09-73097203",Yangon Region
Moh Moh [Daw],"60, 2nd Flr, Maha Bandoola Garden St., Lower Block,",Law Firms,Kyauktada(Kyauktada),tel: 09-420116385,Yangon Region
Imperial,"63/B, 12th St.,",Laundries,Lanmadaw(Lanmadaw),"tel: 09-795280795,tel: 09-799950488",Yangon Region
Myanmar Positive Group [MPG],"Rm 501, 5th Flr, Bayint Naung Rd., Bayint Naung Tower 2/A,",NGOs,Kamayut(Kamayut),"tel: 09-31065510,tel: 09-254314217",Yangon Region
Myanmar School Milk Program,"1st Flr, Thiri Mingalar Old Market,",NGOs,Kyeemyin Daing(Kyeemyin Daing),tel: 09-421718529,Yangon Region
Myanmar Medical Association [Myanmar Malaria Project],"1/A/27, Oak Zanar St., Mya Thidar Housing,",NGOs,South Okkalapa (South Okkalapa ),"tel: 01-8500466,tel: 09-795891314~18,tel: 09-73032486",Yangon Region
Myanmar Multiparty Democracy Programme,"458/460, Rm 10/C, 10th Flr, Maha Bandoola Rd., Yathar Condo,",NGOs,Pabedan(Pabedan),tel: 09-253370443,Yangon Region
Moe Kyaw Oo [U],"55, Rm 5, 2nd Flr, Maha Bandoola Garden St., Lower Block,",Law Firms,Kyauktada(Kyauktada),"tel: 09-5149636,tel: 09-252419816",Yangon Region
Zin Zin,"Rm 167, 1st Flr, Shwe Mingalar Market,",Fabric Shops,Mingalar Taung Nyunt(Mingalar Taung Nyunt),"tel: 09-258488541,tel: 09-401540685,tel: 09-257689866",Yangon Region
Myanmar Medical Association,"Bldg 4, Rm 201, 2nd Flr, Waiza Yan Tar Rd., Waizayantar Housing,",NGOs,Thingangyun(Thingangyun),tel: 09-250674524,Yangon
Sein United Food Production & Trading,"34,17th St.,Lower Block",Coconut Oil,Latha(Latha),"tel: 01-226450,tel: 01-680348,tel: 01-228843,tel: 01-226588,tel: 01-680708",Yangon Region
Tin Tin Aye [Daw],"Rm S/8/S/9, G Flr, Nyaung Pin Lay Plaza,",Soft Drinks/Juices & Beverages,Lanmadaw(Lanmadaw),"tel: 01-210091,tel: 01-211233 Ext.270,tel: 01-211911 Ext.417,tel: 09-5160488,tel: 09-5009883",Yangon Region
"Thein Nyi Naung Mfg Co.,Ltd.","J/21-A, Ar Thaw Ka St., Bayint Naung Warehouses,",Warehouses [Wheat],Mayangone(Mayangone),"tel: 01-682347,tel: 01-681904,tel: 09-5102216",Yangon Region
Mya Han [U],"55, Rm 5, 2nd Flr, Maha Bandoola Garden St., Lower Block,",Law Firms,Kyauktada(Kyauktada),"tel: 09-49299193,tel: 01-538332 [Res]",Yangon Region
Moe Sandar [Daw],"175, Myeik St., Corner of Hlaw Gar Rd., Ward (19),",Law Firms,South Dagon(South Dagon),"tel: 01-590415,tel: 09-73145667,tel: 09-5064670",Yangon Region
Min,"119, 42nd St., Lower Middle Block,",Laundries,Botahtaung(Botahtaung),"tel: 09-254488633,tel: 09-252098121,tel: 09-976902856",Yangon Region
Mr.Clean,"9, Mingalar St., Ward (8),",Laundries,Kamayut(Kamayut),"tel: 09-30353781,tel: 09-73083748",Yangon Region
Thein Nyi Naung Family,"Rm K/9, G Flr, Nyaung Pin Lay Plaza,",Wheat [Manu/Dist],Lanmadaw(Lanmadaw),"tel: 01-226085,tel: 01-210410",Yangon Region
Mother House,"52, Ma U Pin St., Kyun Taw (South) Ward,",Laundries,Sanchaung(Sanchaung),tel: 09-262381699,Yangon Region
Lavender,"Yankin Rd., Corner of Maggin St.,Ward (1),",Laundries,Yankin(Yankin),"tel: 09-5410994,tel: 09-778080737,tel: 09-778080747",Yangon Region
Metro Dry Cleaning & Laundry,"161/163,Latha St.,Upper Block",Laundries,Latha(Latha),tel: 01-250867,Yangon Region
Bk Engineering Group,"114/C, Aye Lar St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-262484116,tel: 09-265626889,tel: 09-8616468",Yangon Region
Laundry House,"20, G Flr, Htee Dan 5th St., Htee Dan Ward,",Laundries,Kyeemyin Daing(Kyeemyin Daing),tel: 09-781442509,Yangon Region
Mr.Cleaner,"1370, Kyun Shwe Wah St., Ward (34),",Laundries,North Dagon(North Dagon),"tel: 09-5047847,tel: 09-420070772,tel: 09-970761067",Yangon Region
Min,"1st Flr, May Darwi Rd., Sa Lone Ward,",Laundries,North Okkalapa (North Okkalapa ),"tel: 09-401603098,tel: 09-30347901,tel: 09-43138820",Yangon Region
Lin Latt,"25/B, Kyan Khin St., Linn Loon (North) Ward,",Laundries,Sanchaung(Sanchaung),"tel: 09-5029027,tel: 09-423722762",Yangon Region
Myanmar Investors Development Association [MIDA],"Rm 2, 3rd Flr, Saya San Rd., Co-operative Business Centre,",NGOs,Bahan(Bahan),tel: 01-401480~3 Ext.3001,Yangon Region
Myanmar Japan SEDA [Myanmar Japan Socio Economic Development Association],"24, Yaw Min Gyi St., Yaw Min Gyi Ward,",NGOs,Dagon(Dagon),"tel: 01-246636,tel: 01-253177,tel: 01-384309",Yangon Region
Myanmar Literacy Recource Centre [MLRC],"426, Pyay Rd., Myanma Education Research Off. Compound, Ward (9),",NGOs,Kamayut(Kamayut),"tel: 01-2304107~09,tel: 01-526153",Yangon Region
Bala,"C/284, Kyauk Pahtoe 11th St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-49260733,tel: 09-5089833,tel: 09-785089833",Yangon Region
Bawga Wadi,"553, Inlay St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-963375657,tel: 09-262425484,tel: 09-788554959",Yangon Region
Aye Thaung [U],"970, Shwe Taung Gyar St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-425029490,Yangon Region
Mate Swe,"Hta Sin Htoo Shed, Rm 12, Daninn Yoe Chaung Patt St., Aung Mingalar High-Way Bus Terminal,",Laundries,Mingalardon(Mingalardon),"tel: 09-420259666,tel: 09-791950631",Yangon Region
Ba Kyin [U] + Kalar [Ko],"440, Magwe St., Ward (10),",Lathe Machine Workshops,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-73650852,Yangon Region
Ba Kyue [U] & Sons,"89,Kyauk Pahtoe St.,Industrial Zone (3)",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-5144822,Yangon
Aye Myittar,"118, Dhama Thukha (apyin) St., (2/Ka) Ward,",Lathe Machine Workshops,Mingalardon(Mingalardon),"tel: 09-73092191,tel: 09-43056533",Yangon Region
Myanmar Japan Friendship Association,"355, 1st Flr, Kaba Aye Pagoda Rd., Ward (9),",NGOs,Mayangone(Mayangone),"tel: 01-664968,tel: 09-420312704",Yangon Region
Mrs.Show,"20, Ariya Maggin St., Ward (14),",Laundries,Yankin(Yankin),tel: 09-799539163,Yangon Region
Mrs.Show,"10, 4th Flr, Min St., Sanchaung (South) Ward,",Laundries,Sanchaung(Sanchaung),"tel: 09-6801358,tel: 09-799539163",Yangon Region
Aye Nyein [Ko],"D/1/5, Zaung Tu St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-5415234,Yangon Region
Aye Thaung [U],"Rm 14, Chin Dwin St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-5157768,Yangon Region
Noble Compassionate Volunteer Group,"Bldg 3, Rm 3, MICT Park,",NGOs,Hlaing(Hlaing),"tel: 01-652267,tel: 01-652268",Yangon Region
NGO Gender Group,"Rm B, 9th Flr, Myay Ni Gone Plaza,",NGOs,Sanchaung(Sanchaung),tel: 01-504692,Yangon Region
Nonviolent Peaceforce,"99/B, Rm 105, 1st Flr, Myay Nu St., Myay Nu Condo, Myae Ni Gone (North) Ward,",NGOs,Sanchaung(Sanchaung),tel: 09-421742066,Yangon Region
Myittar Resource Foundation [MRF],"79/2/C, 2nd Flr, Kyaikkasan Rd., Nat Mauk Ward,",NGOs,Tarmwe(Tarmwe),"tel: 09-421150180,tel: 09-5037490,tel: 09-8641306",Yangon Region
Mrs.Show,"11, 140th St., Ma U Gone Ward,",Laundries,Tarmwe(Tarmwe),"tel: 09-5013370,tel: 09-254106009",Yangon Region
National NGOs Network [3N],"523, Dhamar Yon St., Ward (11),",NGOs,Hlaing(Hlaing),tel: 09-8610745,Yangon Region
Myittar Mee Eain,"38, Rm 2/A, 2nd Flr, 43rd St., Lower Block,",NGOs,Botahtaung(Botahtaung),"tel: 09-5046410,tel: 09-73192887,tel: 09-73053100,tel: 09-43108345",Yangon Region
Dana Pyae,"D/140, Yae Nan Chaung 1st St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-5411442,Yangon Region
D [U] & Sons,"37, Shwe Li St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 01-591145,tel: 09-5153472,tel: 09-49324625",Yangon Region
Dagon Tun,"7, Man Daing St., Wah So Ward,",Lathe Machine Workshops,Dawbon(Dawbon),"tel: 01-559813,tel: 09-5006178",Yangon Region
Cho Too [Ko],"D/1/186, Yae Nan Chaung 3rd St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-421007456,Yangon Region
Chit Tun [Ko],"D/1/333, Pazundaung Set Hmu 2nd St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-73129600,tel: 09-253901680",Yangon Region
Network Activities Group [NAG],"35, Hnin Si Myaing St., Shwe Pin Lon Housing,",NGOs,North Dagon(North Dagon),"tel: 01-801075,tel: 09-73160419,tel: 09-73160418",Yangon Region
Chit Htwe & Sons,"171, Thazin St., Industrial Zone 3,",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 01-200825,tel: 09-5501170",Yangon Region
Ba Ga Wan [U One],"154, Aung Zeyar St., Kalar Kyaung Bus Stop, Ward (2),",Lathe Machine Workshops,Mayangone(Mayangone),"tel: 09-450028826,tel: 09-73171801,tel: 09-8614893",Yangon Region
Chit [U][Family],"327, Kandaw Mon St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-5104368,tel: 01-590384,tel: 09-5136137",Yangon Region
Chit Meik Swe,"401,Moe Ma Kha St.,Industrial Zone (2)",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-5128342,Yangon
New World Therapeutic Training Centre,"60/G/3, Parami Rd., Parami Hospital, Ward (10),",NGOs,Mayangone(Mayangone),"tel: 01-650365,tel: 09-73256696",Yangon Region
Myanmar Marketing Society,"Bldg 5, Rm 3, MICT Park,",NGOs,Hlaing(Hlaing),"tel: 01-652304,tel: 09-256209356",Yangon Region
Myanmar Special Education Association [MSEA],"9, G Flr, U Phee St., Sanchaung (South) Ward,",NGOs,Sanchaung(Sanchaung),"tel: 09-974952757,tel: 09-252629060",Yangon Region
Chan Myae Aung,"D/1/320, Pazundaung Set Hmu 2nd St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-420127835,Yangon Region
Mrs.Show,"111,157th St.,Byine Yay Oh Sin Ward",Laundries,Tarmwe(Tarmwe),"tel: 09-2052310,tel: 09-6801358",Yangon Region
Mrs Show,"201/B, Baho Rd., Linn Loon (North) Ward,",Laundries,Sanchaung(Sanchaung),tel: 01-503746,Yangon Region
Mr.Show,"38, 155th St., Tarmway Gyee (Ka/Ga-Nge) Ward,",Laundries,Tarmwe(Tarmwe),"tel: 09-6801358,tel: 09-799539163",Yangon Region
Mrs.Show,"10, Khay Mar St., Ward (8),",Laundries,Kamayut(Kamayut),"tel: 01-501209,tel: 09-5185374,tel: 09-401641255",Yangon Region
Myanmar White Star Development Association,"306, Pauk Zedi St., Ward (6),",NGOs,Mayangone(Mayangone),"tel: 01-9667301,tel: 09-5056117,tel: 09-965056117",Yangon Region
Mrs.Show,"Baho Rd., Infront Of B.E.H.S (3), Than Tadar Ward,",Laundries,Sanchaung(Sanchaung),"tel: 09-6801358,tel: 09-799539763",Yangon Region
Mr.Show,"5, Ar Thaw Ka St., Kyarr Kwet Thit Ward,",Laundries,Tarmwe(Tarmwe),"tel: 09-6801358,tel: 09-799539163",Yangon Region
Pandita Development Institute,"93, Rm R, 1st Flr, Seikkanthar St., Lower Middle Block,",NGOs,Kyauktada(Kyauktada),tel: 09-250587279,Yangon Region
Pact Global Microfinance Fund [Pact],"Bldg B, 1st Flr, Pyay Rd., Diamond Condo,",NGOs,Kamayut(Kamayut),"tel: 01-501373,tel: 01-501382,tel: 01-501379",Yangon Region
Pact Global Microfinance Fund Institute,"223, Bogyoke Aung San Rd., Ward (5),",NGOs,Shwe Pyi Thar(Shwe Pyi Thar),tel: 09-450055476,Yangon Region
Min Sein [U],"189/195, Rm 7/B, 7th Flr, Pansoedan St., Pansoedan Office Tower,",Law Firms,Kyauktada(Kyauktada),"tel: 01-253273,tel: 09-5017200",Yangon Region
Open Myanmar Initiative,"82, Yangon-Insein Rd., Corner of Thukha St.,Ward (9),",NGOs,Hlaing(Hlaing),"tel: 09-421089020,tel: 09-49605657,tel: 01-534080",Yangon Region
Pact in Myanmar,"608, 16th Flr, Merchant Rd., Bo Son Patt Tower,",NGOs,Pabedan(Pabedan),"tel: 01-373221,tel: 01-245447,tel: 01-378931",Yangon Region
Moe,"Rm 1, Thamardi St., Corner of Khay Mar Thi Rd.,Sa Lein Ward,",Law Firms,North Okkalapa (North Okkalapa ),tel: 09-43131506,Yangon Region
Norwegian People's Aid,"24/L, Nat Mauk Yeikthar St., Saya San Ward,",NGOs,Bahan(Bahan),"tel: 01-545912,tel: 01-540694,tel: 01-544551 Ext.210",Yangon Region
Mrs.Show,"176, 2nd Flr, U Chit Maung Rd., Saya San (North-East) Ward,",Laundries,Bahan(Bahan),tel: 09-790136189,Yangon Region
Phwe,"7, Butar Yon St., Ward (6),",Laundries,Hlaing(Hlaing),"tel: 09-31611426,tel: 09-453719124",Yangon Region
Nyein [Shalom Foundation],"99/A, Rm 8/C, 8th Flr, Myay Nu St., Shwe Padauk Condo, Myae Ni Gone (North) Ward,",NGOs,Sanchaung(Sanchaung),"tel: 01-510487,tel: 01-536692",Yangon Region
Phway,"10, Min St., Sanchaung (South) Ward,",Laundries,Sanchaung(Sanchaung),"tel: 09-799858276,tel: 09-792512236",Yangon Region
Phway,"Bldg B/14, 1st Flr, Pyay Rd., Anawrahta Housing,",Laundries,Kamayut(Kamayut),"tel: 01-512368,tel: 09-5141581,tel: 09-31611426",Yangon Region
Cho Gyi [Ko],"447, Min Ye Kyaw Swar St., Bamar Aye Ward,",Lathe Machine Workshops,Dawbon(Dawbon),tel: 09-49328909,Yangon Region
Hein Zaw,"D/114, Kyauk Pahtoe 6th St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-421027157,Yangon Region
Han Htoo Maw,"323, Pearl St., Ward (12),",Lathe Machine Workshops,Shwe Pyi Thar(Shwe Pyi Thar),"tel: 09-73227655,tel: 09-799804454",Yangon Region
Fitter Sein Tun,"C/108, Heindar St., Industrial Zone (3),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-5138858,tel: 09-8610669",Yangon Region
Family,"15, Myay Ni St., Lay Daunt Kan Ward,",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-250910520,tel: 01-9190371",Yangon Region
Plan Myanmar,"7, Kan Baw Za Rd., Shwe Taung Gyar Ward (1),",NGOs,Bahan(Bahan),tel: 09-259323690~92,Yangon Region
Phoenix Association,"158/D, Htee Hlaing Shin 1st St., Htee Hlaing Shin Housing,",NGOs,Hlaing Thar Yar(Hlaing Thar Yar),"tel: 01-9648116,tel: 09-73119050",Yangon Region
OSI [Open Society Institute],"35/B/15, Rm 2/A, 1st Flr, New University Avenue Rd., Saya San Ward,",NGOs,Bahan(Bahan),tel: 09-5080130,Yangon Region
Gone Zanar,"488, Magwe St., Ward (9),",Lathe Machine Workshops,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-5115922,Yangon Region
Peace Myanmar Aid Foundation [PMA],"26/A/9, Tay Nu Yin St., 7½ Mile, Ward (7),",NGOs,Mayangone(Mayangone),"tel: 01-665328,tel: 09-5011147",Yangon Region
Phandeeyar,"561, Rm 1001, 11th Flr, Merchant Rd., MAC Tower,",NGOs,Kyauktada(Kyauktada),tel: 09-974413736,Yangon Region
PCF [Pestalozzi Children's Foundation],"Bldg 1, Rm 107, 2nd Flr, Hotel Yangon,",NGOs,Mayangone(Mayangone),"tel: 01-9667688 Ext.3103,tel: 01-9667708 Ext.3103",Yangon Region
Paung Kuu,"Bldg B, Rm A/012, 2nd Flr, Bargayar Rd., Shwe Pyi Aye Yeik Mon,",NGOs,Sanchaung(Sanchaung),"tel: 01-2304806,tel: 01-2304807",Yangon Region
Phyu Phyu Phwe,"Bldg 20, Rm 001, Cherry Lane., Kyan Sit Thar Housing,",Laundries,Hlaing Thar Yar(Hlaing Thar Yar),tel: 09-250055426,Yangon Region
PATH,"131, Bldg C, Rm 071/072, 7th Flr, Shwe Pyi Aye St., Shwe Pyi Aye Yeik Mon,",NGOs,Sanchaung(Sanchaung),tel: 01-2304781,Yangon Region
Panno Institute [PI],"6, Tharlar Waddy St., Ward (7),",NGOs,Mayangone(Mayangone),"tel: 01-662883,tel: 09-777731327",Yangon Region
Eisami [U] @ Myint Swe [U],"1300, Sittaung St., Industrial Zone (2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-73009779,tel: 01-706444",Yangon Region
Diamond,"365/366, Phaung Gyi St., Industrial Zone(2),",Lathe Machine Workshops,South Dagon(South Dagon),"tel: 09-5014019,tel: 09-73033526",Yangon Region
Partners Myanmar,"Rm D-3/1, 3rd Flr, Baho Rd., Thazin Housing,",NGOs,Sanchaung(Sanchaung),tel: 01-511178,Yangon Region
Oxfam,"34, Than Lwin Rd., Shwe Taung Gyar Ward (2),",NGOs,Bahan(Bahan),"tel: 01-539986,tel: 01-539987,tel: 01-539958",Yangon Region
Eii Soot,"Zaung Tu St.,Industrial Zone (3)",Lathe Machine Workshops,South Dagon(South Dagon),tel: 09-420192097,Yangon Region
Peti Foundation,"71, Dhama Zedi Rd., Myaynigone, Myae Ni Gone (South) Ward,",NGOs,Sanchaung(Sanchaung),tel: 01-504127,Yangon Region
Nay Win,"Bldg B/12, Rm 201, 2nd Flr, Shukhin Thar Myo Patt Rd., Shu Khinn Thar Housing,",Laundries,Thaketa(Thaketa),"tel: 09-49269360,tel: 09-798108098",Yangon Region
OK,"Bldg C, Rm 621, 5th Flr, Baho Rd., Muditar Condo,",Laundries,Mayangone(Mayangone),"tel: 09-250651086,tel: 09-31814994",Yangon Region
Myint Myint Win [Daw],"1231, Yarza Thin Gyan Rd., Ward (49),",Laundries,North Dagon(North Dagon),tel: 09-250504362,Yangon Region
Hein [Set Hmu Let Hmu],"Thitsar Rd.,Construction Compound,Ward (9)",Lathe Machine Workshops,South Okkalapa (South Okkalapa ),tel: 09-448001747,Yangon Region
NRC [Norwegian Refugee Council],"131/E/2, Than Lwin St., Ward (10),",NGOs,Kamayut(Kamayut),"tel: 09-451388798,tel: 01-400599,tel: 01-400804,tel: 01-549569",Yangon Region
Ratana Metta Organization,"465/467, Rm 3, Mya Lay Yon St., Myittar Nyunt Ward,",NGOs,Tarmwe(Tarmwe),tel: 09-73138950,Yangon Region
